aX,aY,aZ,gX,gY,gZ
0.901,-0.134,-0.764,90.027,273.071,168.152
0.971,-0.23,-1.071,80.811,253.479,160.889
1.039,-0.249,-1.356,66.467,227.112,148.865
1.078,-0.151,-1.575,52.551,207.092,134.766
1.159,-0.147,-1.774,51.331,205.261,119.995
1.267,-0.217,-1.983,46.143,213.806,101.013
1.442,-0.311,-2.251,32.532,225.83,76.965
1.587,-0.453,-2.43,16.418,244.08,48.889
1.71,-0.36,-2.195,4.456,272.461,4.883
1.877,-0.227,-1.734,8.728,280.09,-42.297
1.771,-0.274,-1.507,16.357,254.089,-82.581
1.563,-0.359,-1.322,13.55,222.961,-106.018
1.458,-0.468,-1.154,-3.113,190.796,-107.544
1.35,-0.544,-0.983,-18.311,153.809,-108.032
1.243,-0.533,-0.824,-15.808,108.887,-110.657
1.191,-0.435,-0.742,-4.395,55.908,-112.915
1.171,-0.313,-0.74,2.014,2.38,-107.178
1.121,-0.26,-0.755,-1.831,-42.969,-88.928
1.013,-0.332,-0.765,-8.728,-77.271,-67.993
0.9,-0.421,-0.771,-8.606,-99.304,-55.054
0.838,-0.486,-0.804,-1.16,-109.009,-46.692
0.765,-0.555,-0.819,0.732,-104.309,-42.847
0.664,-0.578,-0.787,-1.526,-86.67,-48.279
0.655,-0.545,-0.727,-1.526,-61.707,-52.307
0.682,-0.484,-0.64,-5.066,-35.522,-52.795
0.694,-0.49,-0.552,-9.46,-14.16,-52.185
0.699,-0.507,-0.476,-11.841,-0.977,-52.429
0.715,-0.476,-0.399,-12.146,5.371,-51.941
0.763,-0.433,-0.323,-13.794,3.235,-48.706
0.774,-0.397,-0.289,-16.663,-7.324,-44.128
0.751,-0.272,-0.336,-17.883,-21.912,-36.011
0.742,-0.231,-0.397,-16.724,-33.081,-18.921
0.764,-0.254,-0.37,-16.357,-40.222,-5.737
0.666,-0.137,-0.63,-7.69,-50.049,6.287
0.683,-0.558,-0.513,-4.517,-45.532,25.818
0.606,-0.657,-0.449,-0.061,-46.814,-8.179
0.694,-0.276,-0.582,26.55,-60.364,-28.992
0.833,-0.037,-0.583,24.414,-57.434,-6.042
0.75,-0.153,-0.442,-2.38,-52.429,2.441
0.703,-0.369,-0.531,-4.883,-60.303,4.333
0.649,-0.506,-0.794,2.808,-61.829,8.545
0.499,-0.462,-0.915,-3.601,-37.903,-4.578
0.472,-0.367,-0.969,-7.629,2.686,-19.165
0.539,-0.283,-0.951,-11.353,49.927,-24.963
0.627,-0.215,-0.82,-15.808,93.506,-26.001
0.746,-0.177,-0.63,-16.296,120.972,-19.226
0.848,-0.206,-0.431,-11.414,123.84,-9.949
0.893,-0.248,-0.272,-2.197,101.135,-4.211
0.94,-0.271,-0.242,7.141,58.105,0.122
0.902,-0.212,-0.307,12.634,10.315,5.676
0.838,-0.238,-0.411,12.268,-28.87,17.395
0.746,-0.293,-0.518,9.888,-55.969,23.254
0.711,-0.321,-0.589,10.437,-70.129,25.818
0.682,-0.356,-0.662,9.155,-73.242,25.94
0.619,-0.369,-0.728,7.568,-65.063,18.738
0.593,-0.356,-0.755,7.08,-47.852,11.414
0.601,-0.352,-0.758,3.174,-25.696,6.165
0.607,-0.369,-0.731,-2.014,-2.014,0.183
0.639,-0.374,-0.667,-4.883,20.447,-6.042
0.69,-0.353,-0.598,-6.165,36.011,-11.047
0.742,-0.321,-0.533,-6.653,42.542,-15.686
0.793,-0.278,-0.481,-5.615,39.673,-17.151
0.831,-0.255,-0.446,-3.723,28.564,-14.343
0.835,-0.278,-0.441,-2.258,12.085,-9.399
-1.103,-1.256,0.911,6.653,-120.3,32.288
-1.229,-1.42,0.999,4.089,-155.396,40.1
-1.346,-1.503,1.046,-2.441,-195.557,44.25
-1.447,-1.524,1.033,-9.094,-237.244,46.204
-1.489,-1.512,0.976,-16.602,-275.574,50.72
-1.488,-1.432,0.916,-22.705,-302.979,58.899
-1.465,-1.296,0.871,-22.827,-315.369,67.993
-1.436,-1.156,0.869,-18.127,-315.674,82.458
-1.405,-1.058,0.907,-15.808,-306.519,106.75
-1.369,-1.05,0.962,-19.348,-289.795,139.771
-1.324,-1.084,0.957,-34.18,-271.545,177.979
