aX,aY,aZ,gX,gY,gZ
0.593,-0.787,0.641,10.681,60.791,-97.107
0.51,-0.734,0.705,7.202,26.917,-35.767
0.429,-0.747,0.759,3.357,-13.794,17.456
0.316,-0.748,0.742,0.549,-61.768,60.73
0.158,-0.741,0.685,-0.061,-106.628,86.853
0.011,-0.758,0.631,-0.488,-141.846,99.121
-0.161,-0.773,0.581,-0.61,-166.138,101.624
-0.399,-0.787,0.499,0.61,-177.917,93.628
-0.599,-0.888,0.361,2.014,-175.171,77.148
-0.766,-1.004,0.193,0.549,-151.855,53.833
-0.871,-1.078,0.057,-0.366,-107.971,24.719
-0.83,-1.068,0.03,0.977,-50.476,-5.066
-0.678,-0.968,0.125,2.625,6.348,-28.442
-0.495,-0.882,0.247,2.502,47.729,-40.71
-0.371,-0.826,0.362,1.038,67.444,-40.771
-0.287,-0.793,0.436,0.488,67.017,-30.273
-0.238,-0.8,0.476,-0.732,53.65,-15.259
-0.224,-0.835,0.481,-2.014,34.363,-1.648
-0.23,-0.877,0.453,-2.93,15.076,9.827
-0.266,-0.931,0.444,-3.662,0.671,15.381
-0.309,-0.958,0.423,-3.845,-7.751,14.282
-0.231,-1.062,0.409,-4.944,-8.972,9.644
-0.322,-0.967,0.344,-5.92,-7.874,-1.587
-0.239,-1.009,0.371,-7.568,-3.601,-1.221
-0.139,-1.219,0.499,-4.7,2.686,-13.794
-0.063,-1.064,0.514,1.16,-10.376,-37.292
-0.571,-0.76,-0.164,-7.812,-22.156,-35.4
-0.566,-0.888,-0.176,-13.0,49.255,-30.273
-0.245,-0.884,0.558,-0.671,123.657,-36.865
-0.073,-0.864,0.43,7.446,120.667,-40.222
-0.23,-0.948,0.451,4.578,116.15,-38.391
-0.147,-0.721,0.794,0.854,111.023,-36.926
-0.027,-0.709,0.623,-2.319,75.5,-16.846
-0.082,-0.807,0.745,-5.127,52.856,-6.47
-0.067,-0.856,0.728,-5.31,17.944,-2.441
-0.072,-0.796,0.599,-8.484,-21.79,4.761
-0.155,-0.759,0.503,-13.245,-45.227,18.005
-0.196,-0.85,0.449,-13.062,-55.847,33.569
-0.243,-0.953,0.38,-7.812,-58.899,38.696
-0.257,-1.008,0.414,-3.296,-54.688,35.339
-0.266,-1.007,0.386,-2.014,-50.659,28.137
-0.364,-0.966,0.243,-2.441,-43.823,18.311
-0.416,-0.979,0.238,-2.014,-19.531,8.728
-0.354,-1.022,0.347,1.099,9.705,-5.859
-0.317,-1.006,0.381,3.906,26.489,-23.743
-0.269,-0.984,0.474,2.93,35.95,-36.072
-0.232,-0.935,0.558,0.854,35.645,-44.861
-0.18,-0.865,0.58,-1.526,20.752,-46.814
-0.17,-0.826,0.568,-4.333,1.648,-39.001
-0.199,-0.844,0.54,-7.446,-17.456,-27.039
-0.213,-0.881,0.503,-8.606,-34.241,-14.587
-0.251,-0.887,0.433,-9.033,-46.265,-5.798
-0.304,-0.859,0.359,-9.583,-49.438,0.732
-0.322,-0.853,0.322,-10.01,-41.565,6.653
-0.34,-0.857,0.299,-9.155,-27.466,8.728
-0.342,-0.856,0.295,-7.568,-10.498,6.714
-0.331,-0.867,0.326,-6.775,7.568,3.235
-0.32,-0.88,0.366,-5.127,23.315,-3.113
-0.29,-0.88,0.406,-3.601,34.363,-10.864
-0.264,-0.878,0.44,-3.296,40.1,-18.066
