aX,aY,aZ,gX,gY,gZ
0.969,0.144,0.096,-3.662,-5.127,1.343
0.986,0.152,0.111,-2.93,-7.629,-0.183
0.996,0.161,0.125,-3.235,-11.169,0.0
0.983,0.151,0.102,-3.357,-15.137,0.916
0.972,0.141,0.095,-2.686,-17.151,0.916
0.361,-0.341,2.848,106.018,144.836,5.249
0.442,-0.406,3.202,88.318,166.26,8.362
0.43,-0.461,3.437,65.369,187.134,18.616
0.495,-0.69,3.487,48.584,210.51,57.068
0.6,-0.769,3.531,11.169,245.178,93.323
0.654,-0.669,3.434,-23.071,281.372,100.83
0.752,-0.539,3.336,-37.598,312.744,92.163
0.853,-0.281,3.223,-37.17,334.29,71.411
0.788,-0.036,3.022,-25.635,346.313,54.26
0.647,0.04,2.766,-9.46,351.624,49.866
0.541,-0.038,2.494,6.531,347.351,51.208
0.417,-0.15,2.224,19.226,330.078,52.002
0.256,-0.195,1.88,31.677,305.237,48.157
0.075,-0.224,1.486,41.931,283.875,41.565
-0.048,-0.293,1.176,44.983,273.315,37.598
-0.069,-0.319,0.949,42.236,265.259,37.781
-0.136,-0.297,0.762,37.292,252.441,42.542
-0.25,-0.343,0.589,31.982,236.328,50.842
-0.383,-0.429,0.231,26.611,219.482,53.04
-0.426,-0.443,-0.072,24.963,215.21,44.8
-0.364,-0.382,-0.239,20.63,226.013,37.415
-0.246,-0.297,-0.358,13.794,241.028,36.865
-0.059,-0.294,-0.359,6.653,253.235,42.053
0.06,-0.298,-0.464,0.916,254.944,43.152
0.21,-0.267,-0.496,-3.418,253.113,41.382
0.402,-0.244,-0.278,-6.287,245.789,38.879
0.459,-0.177,-0.278,-8.85,213.135,35.278
0.422,-0.11,-0.412,-12.878,171.387,39.307
0.443,-0.132,-0.346,-16.418,140.808,48.584
0.451,-0.165,-0.292,-17.09,108.093,52.063
0.343,-0.131,-0.44,-16.968,72.021,51.208
0.283,-0.089,-0.448,-17.456,51.758,52.246
0.27,-0.068,-0.398,-15.747,43.396,55.298
0.287,-0.043,-0.344,-12.451,35.156,58.35
0.274,-0.03,-0.352,-7.629,24.658,61.707
0.163,-0.031,-0.535,-2.747,16.602,63.416
0.089,-0.044,-0.653,3.052,27.588,63.049
0.112,-0.07,-0.562,8.789,55.42,58.594
0.241,-0.091,-0.343,15.747,78.064,47.424
0.382,-0.08,-0.207,20.935,80.139,34.241
0.446,-0.051,-0.182,21.179,67.383,26.062
0.474,-0.046,-0.198,17.883,51.636,24.109
0.516,-0.073,-0.183,12.573,38.818,25.33
0.551,-0.086,-0.167,5.981,26.428,25.757
0.545,-0.065,-0.187,-1.099,13.367,25.879
0.525,-0.025,-0.209,-8.057,4.639,26.917
0.525,0.009,-0.19,-14.771,1.953,28.198
0.555,0.015,-0.144,-21.24,1.953,28.931
0.58,0.026,-0.093,-27.466,0.427,28.076
0.575,0.066,-0.076,-31.921,-2.991,25.757
0.581,0.105,-0.087,-34.485,-5.859,22.827
0.594,0.149,-0.08,-36.133,-6.47,20.508
0.627,0.193,-0.078,-35.889,-6.165,19.348
0.673,0.235,-0.088,-33.508,-5.676,18.921
0.709,0.271,-0.096,-30.212,-4.211,19.714
0.747,0.285,-0.097,-26.672,-2.38,22.034
0.79,0.277,-0.091,-23.071,-0.244,24.414
0.825,0.265,-0.084,-19.592,1.404,25.574
0.851,0.258,-0.068,-16.968,2.136,25.635
0.879,0.249,-0.039,-15.503,1.282,24.719
0.887,0.252,-0.027,-14.893,-2.319,21.667
0.883,0.246,-0.036,-15.137,-6.531,19.043
0.896,0.209,0.007,-16.357,-9.338,16.846
0.911,0.203,0.054,-18.25,-13.55,12.756
0.861,0.201,-0.004,-21.484,-20.386,8.789
0.816,0.217,-0.093,-24.353,-20.264,4.7
0.784,0.231,-0.122,-25.94,-8.606,1.099
0.803,0.263,-0.059,-26.611,7.874,-2.014
0.883,0.286,0.06,-26.123,19.47,-2.93
0.918,0.269,0.088,-25.085,20.02,-2.136
0.972,0.277,0.128,-23.071,16.296,-0.488
0.967,0.279,0.112,-20.569,9.766,2.502
0.936,0.276,0.06,-18.311,3.174,5.249
0.932,0.281,0.045,-16.113,1.953,6.836
0.848,0.27,-0.089,-15.259,4.822,8.057
0.89,0.27,-0.053,-15.808,19.043,8.118
1.02,0.239,0.198,-14.832,32.532,5.92
0.989,0.235,0.135,-12.756,21.79,-0.549
0.971,0.263,0.068,-10.437,9.644,-7.507
0.955,0.298,0.019,-7.507,6.47,-11.169
1.041,0.322,0.102,-4.761,7.568,-9.155
1.086,0.289,0.165,-1.282,2.747,-3.479
1.123,0.245,0.199,2.625,-11.841,0.854
1.049,0.2,0.075,7.507,-30.212,1.77
0.922,0.202,-0.133,11.047,-37.72,-0.122
0.771,0.144,-0.288,11.963,-21.912,0.0
0.908,0.136,-0.026,11.963,10.437,-3.906
1.141,0.238,0.323,11.719,24.78,-6.592
0.981,0.153,0.123,6.958,3.357,-1.038
0.942,0.038,0.029,5.615,-8.972,-2.258
0.991,0.088,0.127,8.301,-7.263,-11.719
1.045,0.197,0.147,4.822,-13.733,-16.113
1.034,0.22,0.067,-0.793,-22.278,-10.193
0.952,0.172,-0.002,-5.615,-23.682,0.305
0.944,0.136,0.008,-4.883,-17.334,3.723
0.943,0.166,0.016,-2.136,-10.62,0.488
0.94,0.198,0.005,-0.61,-4.822,-0.916
0.92,0.142,-0.008,-0.793,2.625,1.282
0.859,0.061,-0.038,-0.305,13.184,-0.732
0.974,0.114,0.086,1.343,24.17,-8.545
1.055,0.197,0.184,-1.526,24.17,-10.437
1.027,0.22,0.078,-7.202,13.611,-3.479
0.984,0.154,0.023,-12.451,8.301,5.371
0.969,0.148,0.042,-11.658,8.118,4.395
